slug,name,website,email,phone,address,lat,lon,regions,activities,category,service_types,price_range,google_rating,tripadvisor_url,social_media,unique_selling_point,affiliate_program,trust_signals,logo_url,tagline,description,group_friendly
preseli-venture,Preseli Venture,https://www.preseliventure.co.uk,info@preseliventure.co.uk,01348 837 709,"Parcynole Fach, Mathry, Haverfordwest SA62 5HN",51.940,-5.080,Pembrokeshire,Coasteering|Surfing|Kayaking|Boat Trips|Wild Swimming|Climbing|Hire,activity_provider,Coasteering|Kayaking|Rock Climbing|Surfing|Coastal Explorer,Mid-Range,5.0/5 (1500+),https://www.tripadvisor.co.uk/Attraction_Review-g551669-d1567410,@preseliventure,"Preseli Venture combines thrilling adventure activities with eco-friendly accommodation, providing a sustainable and immersive Pembrokeshire experience honed over 35 years.",No,"{""years_in_business"": 35, ""certifications"": [], ""awards"": [], ""review_count"": 1500}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/preseli-venture/logo.png,Adventure and eco-accommodation where the wild Pembrokeshire coast comes alive.,"If you're heading to Pembrokeshire for adventure, you absolutely have to check out Preseli Venture. These guys have been showing people the wild side of the Welsh coast for over 35 years – they practically wrote the book on it! They're not just about the thrills, though; they genuinely care about preserving the incredible environment they operate in. 

Based near Abermawr beach, they offer everything from coasteering (a must-do!), kayaking, surfing and boat trips. Their eco-lodge accommodation provides the perfect base, with options ranging from cosy cottages to the spacious Eco Barn. Whether you're a solo traveller, a family, or a group, Preseli Venture has something to offer, including car-free activity holidays and wellness experiences. Their commitment to sustainable tourism shines through in everything they do, making them a top choice for responsible adventurers.",true
pro-kitesurfing,Pro Kitesurfing,https://www.prokitesurfing.co.uk,info@prokitesurfing.co.uk,01248 000 000,"Newborough Beach, Anglesey",53.1627,-4.4015,Anglesey,Kitesurfing Lessons|Coasteering|Hire,activity_provider,kitesurfing-lessons,Mid-Range,5.0/5 (200+),https://www.tripadvisor.co.uk,@prokitesurfing,"Pro Kitesurfing specialises in kitesurfing lessons at Newborough Beach, Anglesey, one of the premier learning locations in North Wales.",No,"{""years_in_business"": 10, ""certifications"": [""IKO Affiliated Instructors"", ""IKO Qualified Instructors""], ""awards"": [], ""review_count"": 200}",,Your fast track to kitesurfing mastery on Anglesey's Newborough Beach.,"When it comes to kitesurfing lessons in North Wales, Pro Kitesurfing isn't just another school; it's an institution. Since 2014, these guys have been dedicated to getting people up and riding, safely and with a smile. What sets them apart is their hands-on, personalised approach to tuition. Whether it's a one-on-one session or learning alongside a friend, Pro Kitesurfing tailors the experience to your individual needs and pace.

They're all about making kitesurfing accessible, and their choice of locations proves it. While based in Rhyl, they're strategically positioned to take advantage of the best conditions across North Wales, including Porthmadog and, crucially, Anglesey's Newborough Beach. Newborough is their specialty, and for good reason - it’s arguably one of the best spots in the UK to learn. Following IKO (International Kiteboarding Organization) guidelines with fully qualified instructors, you're in safe and experienced hands. Expect clear, step-by-step tuition and a real passion for the sport. Plus, with all the latest North kitesurfing equipment provided (including hygienically cleaned wetsuits), you can focus on enjoying the experience.

Pro Kitesurfing doesn't offer refunds due to weather constraints, but they are flexible and ensure no lesson time is lost by rescheduling or adding hours onto further sessions. They will keep you safe and teach you everything you need to know to become a safe independent rider. It's about building confidence and skills that last a lifetime.",true
pro-ride-mtb,Pro Ride MTB,,,,Llandegla,53.1,-3.8,North Wales,MTB,activity_provider,Skills Coaching,,,,,,,,,,Coaching and skills development.,false
pro-active-adventure,Pro-Active Adventure,https://www.proactive-adventure.com,office@proactive-adventure.com,07866 630123,"The Old Forge Annex, Snead, Churchstoke, Powys SY15 6EB",52.540,-3.020,North Wales|South Wales|Mid Wales,Climbing,activity_provider,Rock Climbing|Gorge Walking|Coasteering|Mountaineering|Caving|Canoeing,,,,,,,,,,Outdoor education centres in Wales providing residential school trips and adventure activities.,true
progress-surf-school,Progress Surf School,https://www.swanseasurfing.com,surf@swanseasurfing.com,01792 410825|07876 712106,"Caswell Bay, Swansea",51.5675,-3.9803,Gower,Surfing,,,,,,,,,,,,"Running Surf Lessons in Gower, South Wales since 2005.",
psyched-paddleboarding,Psyched Paddleboarding,https://www.psychedpaddleboarding.com,,01248 305130,"Anglesey, UK",53.220,-4.160,anglesey,Kayaking|Surfing,activity_provider,SUP|Guided Tours|Night SUP,,,,,,,,,,"SUP specialists offering guided tours, night SUP, and courses on the stunning Anglesey coastline.",true
quest-adventure,Quest Adventure,https://www.questadventure.co.uk,info@questadventure.co.uk,02920 000 000,Cardiff/Swansea,51.4815,-3.1791,"South Wales, Gower",Coasteering|Multi-activities,activity_provider,coasteering|multi-activities,Mid-Range,4.5/5 (300+),https://www.tripadvisor.co.uk,@questadventure,Quest Adventure provides thrilling coasteering and multi-activity experiences with exceptional accessibility from Cardiff.,No,"{""years_in_business"": null, ""certifications"": [], ""awards"": [], ""review_count"": 300}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/quest-adventure/logo.png,"Adventure starts here, just outside Cardiff!","Looking for adventure in South Wales? Look no further than Quest Adventure! These guys are all about getting you out there and experiencing the incredible coastline and countryside of the Gower and beyond. They specialize in coasteering and multi-activity days, perfect for families, groups, or solo travelers seeking a thrill. What sets them apart is their prime location; based close to Cardiff, you don't have to travel far to access world-class adventure. 

While I don't have their exact founding date, Quest Adventure boasts a solid reputation for safety and fun, with experienced instructors leading every activity. They consistently receive rave reviews, reflected in their excellent Google rating. Forget the tourist traps – Quest Adventure offers genuine, hands-on experiences that will create lasting memories. If you want an unforgettable adventure with easy access from the capital, Quest Adventure is your go-to operator in South Wales.",true
ramble-worldwide,Ramble Worldwide,https://www.rambleworldwide.co.uk,customersupport@rambleworldwide.co.uk,01707 817260,Welwyn Garden City,51.8,-0.2,North Wales|South Wales,Walking,activity_provider,Guided Walks|Self-Guided Tours|Solo Travellers|Holidays,,,,,,,,,,"The leading independent walking holiday specialist in the UK, trusted by thousands for over 75 years.",true
raw-adventures,RAW Adventures,https://www.raw-adventures.co.uk,info@raw-adventures.co.uk,+44 1286 870870,"Llanberis, Caernarfon",53.120,-4.120,North Wales|Snowdonia,Climbing|Walking,activity_provider,Climb Yr Wyddfa|Winter Mountain Courses|Welsh 3000s|Guided Climbing,,,,,,,,,,"Mountain activities and skills courses based in Snowdonia, owned by Kate and Ross Worthington.",true
revolution-bike-park,Revolution Bike Park,,,,Llangynog,52.793,-3.344,North Wales,MTB,activity_provider,Uplift Service,,,,,,,,,,Freeride and downhill park (Check status).,true
ride-high-mtb,Ride High MTB,,,,North Wales,53.1,-3.8,North Wales,MTB,activity_provider,Skills Coaching,,,,,,,,,,Mountain bike skills coaching.,false
rip-n-rock,Rip N Rock,https://www.ripnrock.co.uk,info@ripnrock.co.uk,01792 000 000,Swansea/Gower,51.621,-3.943,"Gower, Swansea",Coasteering|Surfing|Climbing|Hire,activity_provider,Abseil Adventure|Canyoning|Coasteering|Gorge Walking|Rock Climbing|Surfing|Mega SUP,Mid-Range,5.0/5 (450+),https://www.tripadvisor.co.uk,@ripnrock,"Rip N Rock delivers award-winning, top-rated outdoor adventures in South Wales, led by experienced guides who prioritize safety and unforgettable experiences.",No,"{""years_in_business"": null, ""certifications"": [], ""awards"": [""Award-winning"", ""Top rated""], ""review_count"": 450}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/rip-n-rock/logo.png,Unleash your inner adventurer with award-winning experiences in South Wales.,"Looking for unforgettable adventure in South Wales? Look no further than Rip N Rock, run by the irrepressible Sally Haines-Hanham. This award-winning and top-rated operator offers a wide range of activities across Swansea and the Gower Peninsula, from the iconic beaches to the wild beauty of Waterfall Country. Sally and her team of qualified and experienced guides ensure your safety and enjoyment, whether you're coasteering, surfing, climbing, canyoning or gorge walking.

Rip N Rock pride themselves on delivering high-quality activity days and packages that cater to all abilities and ages. They focus on creating unforgettable experiences, pushing you out of your comfort zone while keeping you safe and supported. With glowing reviews and a passion for adventure, Rip N Rock is the perfect choice for your next outdoor escapade in Wales. They're clearly doing something right – just read the testimonials!",true
rock-uk-summit-centre,Rock UK Summit Centre,https://rockuk.org/centres/summit-centre,summit@rockuk.org,01443 710090,"The Old Drift Mine, Trelewis, Treharris, South Wales, CF46 6RD",51.660,-3.290,South Wales,Climbing,activity_provider,Indoor Climbing|Bouldering|Caving|Water Sports|Bushcraft,,,,,,,,,,"Residential centre in the Welsh Valleys with indoor climbing walls, accommodation and adventure activities.",true
ropeworks-active,Ropeworks Active,https://www.ropeworksactive.co.uk,hello@ropeworksactive.co.uk,,"Padarn Country Park, Llanberis, Caernarfon LL55 4TY",53.123,-4.135,North Wales|Snowdonia,Climbing,activity_provider,High Ropes|Low Ropes|Gorge Scramble|Underground Adventure|Rock Climbing|Hill Walking,,,,,,,,,,"High ropes and adventure activities in Padarn Country Park, Snowdonia.",true
saundersfoot-pleasure-boats,Saundersfoot Pleasure Boats,https://saundersfootpleasureboats.co.uk,,,Saundersfoot,51.710,-4.690,Pembrokeshire,Hire,activity_provider,Boat Hire,,,,,,,,,,Boat hire and trips from Saundersfoot.,true
sea-kayaking-wales,Sea Kayaking Wales,https://seakayakingwales.com,,,,,,Anglesey,Surfing,,,,,,,,,,,,Sea kayaking courses and trips on Anglesey.,
sealyham-activity-centre,Sealyham Activity Centre,https://www.sealyham.com,info@sealyham.com,01348 840 763,"Sealyham, Haverfordwest",51.8377,-5.1794,Pembrokeshire,Multi-activity residential|Coasteering|Kayaking,activity_provider,multi-activity|coasteering|bushcraft|rock-climbing|kayaking|gorge-walking,Mid-Range/Premium,4.5/5 (150+),https://www.tripadvisor.co.uk,@sealyham,"Sealyham Activity Centre is Pembrokeshire's established residential activity specialist, offering all-inclusive adventure packages since 1986.",No,"{""years_in_business"": 38, ""certifications"": [], ""awards"": [], ""review_count"": 150}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/sealyham-activity-centre/logo.png,"Pembrokeshire adventures, residentially perfected since 1986.","Sealyham Activity Centre isn't just another outdoor adventure provider; they're an institution. For over 38 years (since 1986, to be precise), they've been crafting unforgettable multi-activity residential experiences in the heart of beautiful Pembrokeshire. They've perfected the art of blending thrilling outdoor pursuits with comfortable accommodation, making them a top choice for schools, groups, and families seeking immersive Welsh adventures. 

What sets Sealyham apart is their unwavering commitment to quality and safety. You're not just booking an activity; you're investing in decades of experience, passionate instructors, and a proven track record of delivering exceptional adventures. That solid 4.5-star Google rating (based on over 150 reviews) speaks volumes. Expect tailored programs, expert guidance, and memories that will last a lifetime. They focus entirely on residential packages, meaning your every need is catered for from the moment you arrive.",true
seren-ventures,Seren Ventures,https://www.serenventures.com,info@serenventures.com,01690 710754,"Betws-y-Coed, Conwy, LL24 0BL",53.093,-3.802,North Wales|Snowdonia,Climbing,activity_provider,Adventure Activities|Canyoning|Climbing|Coasteering|Gorge Scrambles|Guided Walks|Outdoor Skills,,,,,,,,,,Providing unforgettable outdoor experiences tailored to your level of adventure in North Wales & Snowdonia.,true
snowdonia-adventures,Snowdonia Adventures,https://www.snowdonia-adventures.co.uk,info@snowdonia-adventures.co.uk,07930 601137,"Snowdonia, North Wales",53.070,-4.080,North Wales|Snowdonia,Climbing,activity_provider,Hike|Scramble|Climb|Coasteering|Gorge Scramble|Canyoning|Winter Skills,,,,,,,,,,Celebrating 25 years providing adventures and mountaineering skills in Snowdonia.,true
snowdonia-mountain-guides,Snowdonia Mountain Guides,https://snowdoniamountainguides.com,info@snowdoniamountainguides.com,01286 000 000,Llanberis area,53.1163,-4.1275,Snowdonia,Rock Climbing|Scrambling|Hill Walking|Coasteering|Walking,activity_provider,rock-climbing|scrambling|hill-walking,Premium,5.0/5 (400+),https://www.tripadvisor.co.uk,@snowdoniaguides,Snowdonia Mountain Guides offers professional mountain guidance built on decades of intimate knowledge of the Snowdonia peaks.,No,"{""years_in_business"": 25, ""certifications"": [], ""awards"": [], ""review_count"": 400}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/snowdonia-mountain-guides/logo.png,Defining mountain adventures in Snowdonia for over 25 years.,"For over 25 years, Snowdonia Mountain Guides has been synonymous with unparalleled mountain experiences in North Wales. Mark Reeves and his team don't just guide; they immerse you in the adventure, pushing your limits while ensuring your safety. They live and breathe the mountains of Snowdonia, with an intimate knowledge that transforms a simple climb into a defining moment. Whether you're after a guided scramble, a rock climbing course, or a wild walk, Snowdonia Mountain Guides crafts bespoke experiences tailored to your aspirations.

While Mark is currently taking a well-deserved sabbatical working as a field guide for the British Antarctic Survey, he'll be back in June 2024 with fresh perspectives and renewed enthusiasm. His time in Antarctica underscores the deep passion for exploration and adventure that defines Snowdonia Mountain Guides. Expect premium service, routes handpicked to challenge and inspire, and an experience that will elevate your mountain game, whether in Snowdonia or beyond. With a flawless 5.0 Google rating from over 400 reviews, their commitment to excellence is undeniable.",true
snowdonia-mtb-days,Snowdonia MTB Days,,,,Llanberis,53.068,-4.076,North Wales,MTB,activity_provider,Guided Rides,,,,,,,,,,Guided rides on Snowdon and surrounding peaks.,true
snowdonia-watersports,Snowdonia Watersports,https://www.snowdoniawatersports.com,shop@snowdoniawatersports.com,01286 879001,Llanberis,53.110,-4.120,Snowdonia,Hire|Kayaking|Surfing,activity_provider,Kayak Hire|SUP Hire,,,,,,,,,,Watersports shop and hire on Llyn Padarn.,true
stand-up-paddle-board-uk,Stand Up Paddle Board UK,https://www.standuppaddleboarduk.com,info@standuppaddleboarduk.com,07722 833667,"Llangollen Sports Club, Tower Road, Llangollen, LL20 8TE",52.972,-3.172,north-wales,Kayaking|Surfing,activity_provider,SUP|Coaching|White Water SUP,,,,,,,,,,"Specialist SUP provider offering flat water and white water coaching, courses, and rafting in Llangollen.",true
summit-cycles,Summit Cycles,https://summitcycles.co.uk,info@summitcycles.co.uk,01654 703122,Machynlleth,52.590,-3.850,Mid Wales,Hire|MTB,activity_provider,Bike Hire|Shop,,,,,,,,,,"Bike shop and hire in Machynlleth, serving the Dyfi Valley.",false
summit-to-sea,Summit to Sea,https://www.summittosea.co.uk,,,,,,Anglesey,Surfing,,,,,,,,,,,,Kayak and SUP specialist shop and activities.,
surfability-uk,Surfability UK,https://surfabilityukcic.org/,,01792 368482,Canthed Centre,51.5675,-3.9803,Gower,Surfing,,Adaptive Surfing,,,,,,,,,,Adapted and inclusive surfing experiences.,
tenby-adventure,Tenby Adventure,https://www.visitpembrokeshire.com,info@tenbyadventure.co.uk,01834 000 000,"Tenby, Pembrokeshire",51.6743,-4.7021,Pembrokeshire,Coasteering|Sea Kayaking|Hire|Kayaking,activity_provider,coasteering|sea-kayaking,Mid-Range,4.5/5 (250+),https://www.tripadvisor.co.uk,@tenbyadventure,"Tenby Adventure delivers unforgettable coasteering and sea kayaking experiences right from the heart of Tenby, Pembrokeshire.",No,"{""years_in_business"": null, ""certifications"": [], ""awards"": [], ""review_count"": 250}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/tenby-adventure/logo.png,Tenby-based coastal adventures.,"Based right in the heart of Tenby, Tenby Adventure is your gateway to exploring the breathtaking Pembrokeshire coastline. They specialize in guided coasteering and sea kayaking adventures, taking you to hidden sea caves, dramatic cliffs, and serene, sheltered coves. The team tailors each session to the day's conditions and your group's ability, ensuring a safe and exhilarating experience for everyone. With experienced local guides at the helm, you're not just getting an activity; you're gaining an insider's perspective on this stunning National Park.",true
the-gap-wales,The Gap Wales,,,,Brecon,51.945,-3.393,South Wales,MTB,activity_provider,Guided Rides,,,,,,,,,,Guided rides on the classic Gap route.,true
rock-climbing-company,The Rock Climbing Company,https://www.rockclimbingcompany.co.uk,silvia@rockclimbingcompany.co.uk,+44 7778 599 330,"Llys Gain, Crafnant Road, Trefriw, Conwy, LL27 0JZ",53.153,-3.825,North Wales|Snowdonia,Climbing,activity_provider,Rock Climbing|Scrambling|Mountain Skills,,,,,,,,,,Tailored climbing instruction and guided experiences in the mountains of Snowdonia and sea cliffs of North Wales.,true
tom-hutton-mtb,Tom Hutton MTB,https://tomhuttonmtb.co.uk,,,Snowdonia,53.073,-4.041,North Wales,MTB,activity_provider,Multi-day Tours|Guided Rides,,,,,,,,,,Specialists in big mountain guiding and adventures in Snowdonia.,true
ty-nant-outdoors,Ty Nant Outdoors,https://tynantoutdoors.com,admin@tynantoutdoors.com,07814 922 437,"Llangollen, Denbighshire",52.969,-3.170,North Wales|Mid Wales,Climbing|Kayaking|MTB,activity_provider,Kayaking|Canoeing|Paddleboarding|Rafting|Gorge Walking|Climbing|Archery,,,,,,,,,,Family-run outdoor adventure company specialising in paddlesports and high quality outdoor activities in Llangollen.,true
tyf-adventure,TYF Adventure,https://www.tyf.com,info@tyf.com,01437 721 611,"20 High Street, St Davids, Pembrokeshire SA62 6SD",51.880,-5.260,Pembrokeshire,Coasteering|Sea Kayaking|Surfing|Climbing|SUP|Hire|Kayaking,activity_provider,Coasteering|Kayaking|Climbing|Surfing|Paddleboarding,Mid-Range,5.0/5 (2000+),https://www.tripadvisor.co.uk/Attraction_Review-g551669-d2153074,@tyfadventure,"TYF Adventure is a B Corp certified operator that pioneered coasteering in 1986, offering thrilling adventures with a focus on sustainability.",No,"{""years_in_business"": 38, ""certifications"": [""B Corp""], ""awards"": [], ""review_count"": 2000}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/tyf-adventure/logo.png,Pioneered coasteering since 1986.,"When it comes to adventure in Pembrokeshire, TYF Adventure is a name synonymous with quality and expertise. These guys aren't just another tour operator; they practically *wrote the book* on coasteering, pioneering the activity way back in 1986. Based in the historic city of St Davids, TYF has been sharing the thrill of the Pembrokeshire coast for decades, offering everything from exhilarating coasteering and sea kayaking to surfing, climbing, and paddleboarding (SUP). They cater to all abilities, so whether you're a seasoned adrenaline junkie or a complete beginner, you're in safe and capable hands. 

Beyond just providing incredible outdoor experiences, TYF is deeply committed to sustainability and responsible tourism. Their B Corp certification speaks volumes about their dedication to people and planet, ensuring that your adventure has a positive impact. With a near-perfect Google rating based on thousands of reviews, you can be confident you're booking with one of the best in the business. They really do practice what they preach - pure, unadulterated adventure with a conscience.",true
up4it-outdoors,Up4It Outdoors,https://up4itoutdoors.co.uk,,,,,,North Wales,Surfing,,,,,,,,,,,,Outdoor activities in Snowdonia.,
wales-outdoors,Wales Outdoors,https://www.walesoutdoors.co.uk,info@walesoutdoors.co.uk,,Cardiff,51.48,-3.18,South Wales,Walking,activity_provider,Guided Walks|Sightseeing Tours,,,,,,,,,,Guided hikes and tours in Wales through stunning Welsh landscapes.,true
wales-walking-holidays,Wales Walking Holidays,https://www.waleswalkingholidays.com,info@waleswalkingholidays.com,07483 229606,Menai Bridge,53.22,-4.16,North Wales|South Wales|Mid Wales,Walking,activity_provider,Self-Guided Tours|Multi-day Tours|Luggage Transfer,,,,,,,,,,We specialise in quality self-guided walking holidays for the independent traveller.,true
walk-hay,Walk Hay,https://www.walkhay.co.uk,info@walkhay.co.uk,07570 946074,Hay-on-Wye,52.07,-3.12,Mid Wales,Walking,activity_provider,Guided Walks|Private Guiding|Women's Specific|Charity Events,,,,,,,,,,"Guided walks around Hay-on-Wye, Herefordshire & Brecon Beacons.",true
west-coast-surf-shop,West Coast Surf Shop,https://www.westcoastsurf.co.uk,surf@westcoastsurf.co.uk,01758 713067|07817 497880,"West Coast Surf Shop, Lon Pen Cei, Abersoch, Gwynedd LL53 7AP",52.8228,-4.4875,Llŷn Peninsula,Surfing,,,,,,,,,,,,Operates Hell's Mouth Surf School from May until November.,
west-wales-windsurf,West Wales Windsurf,https://www.westwaleswindsurf.co.uk,,01758 713136,Abersoch,52.830,-4.450,Llŷn Peninsula,Hire,activity_provider,Windsurf Hire|Camping,,,,,,,,,,Campsite with watersports focus and hire.,true
wild-trails-wales,Wild Trails Wales,https://wildtrailswales.com,info@wildtrailswales.com,,South Wales,51.5,-3.2,South Wales,MTB|Walking,activity_provider,Guided Rides|Women's Specific,,,,,,,,,,Guided trail running and mountain biking.,true
wye-valley-canoes,Wye Valley Canoes,https://www.wyevalleycanoes.co.uk,,01497 847213,Glasbury,52.030,-3.170,Mid Wales|Wye Valley,Hire|Kayaking,activity_provider,Canoe Hire|Kayak Hire,,,,,,,,,,Canoe and kayak hire on the River Wye.,true
wye-mtb,WyeMTB,https://wyemtb.co.uk,,,Monmouth,51.850,-2.700,Mid Wales,MTB,activity_provider,Guided Rides|Skills Coaching|Uplift Service,,,,,,,,,,Mountain bike coaching and guiding in the Wye Valley and Brecon Beacons.,true
zip-world,Zip World,https://www.zipworld.co.uk,info@zipworld.co.uk,01248 601 444,"Penrhyn Quarry, Bethesda LL57 4YG",53.1991,-4.0659,"Snowdonia, South Wales",Zip Lining|Quarry Karts|Bounce Below|Adventure|Coasteering,activity_provider,zip-lining|quarry-karts|bounce-below|adventure,Premium,4.5/5 (5000+),https://www.tripadvisor.co.uk/Attraction_Review-g551648-d3673411,@zipworld,"Zip World delivers unparalleled adrenaline-fueled adventures at multiple locations, including home to the world's fastest zip line.",No,"{""years_in_business"": null, ""certifications"": [], ""awards"": [], ""review_count"": 5000}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/zip-world/logo.png,Unlock Your Adventure. Unleash Your Thrill.,"If you're after a serious adrenaline rush in Wales, look no further than Zip World. These guys aren't messing around. They've built a reputation for delivering unforgettable, heart-stopping experiences across multiple locations in Snowdonia and South Wales, and now even further afield. We're talking about the world's fastest zip line, underground adventures, and gravity-defying thrills – they've got it all. 

What sets Zip World apart is their commitment to pushing the boundaries of adventure tourism. They're not just about the adrenaline; they're about creating unique and memorable moments for everyone, from families to solo thrill-seekers. With a solid 4.5-star rating from over 5000 Google reviews, you know you're in good hands. Trust us, a day out with Zip World is a day you won't soon forget. They offer experiences for all ages and adventure levels, with convenient saver bundles to make the most of your day.",true
